Gebietseinheit,Zeit,Wahlberechtigte,Wähler,Wahlbeteiligung in %,Ungültige Stimmzettel,Ungültige Stimmzettel %,Gültige Stimmen,SPD,SPD %,CDU,CDU %,FDP,FDP %,GRÜNE,GRÜNE %,DIE LINKE,DIE LINKE %,PIRATEN,PIRATEN %,DVU,DVU %,NPD,NPD %,REP,REP %,AFB,AFB %,BIW,BIW %,AfD,AfD %,Sonstige,Sonstige %,Veränderung SPD,Veränderung CDU,Veränderung FDP,Veränderung GRÜNE,Veränderung DIE LINKE,Veränderung PIRATEN,Veränderung DVU,Veränderung NPD,Veränderung REP,Veränderung AFB,Veränderung BIW,Veränderung AfD,Veränderung Sonstige,Abgegebene Stimmen pro Wähler
Stadt Bremen,2019-05-26,394110,261869,66.4,5845,0.45956605013790913,1266007,315518,24.922295058400152,344715,27.22852243313031,75685,5.978244986007186,222362,17.56404190498157,149111,11.778054939664631,9719,0.7676892781793465,0,0.0,0,0.0,0,0.0,0,0.0,20740,1.6382215896120638,71473,5.645545403777389,56684,4.477384406247359,-13754.0,120919.0,7676.0,63391.0,48869.0,-4123.0,0.0,0.0,0.0,0.0,-6685.0,15041.0,26010.0,4.834505038778931
Stadt Bremen,2015-10-05,403849,210604,52.1,6075,0.5986767027547998,1008663,329272,32.64440154937774,223796,22.187390634929606,68009,6.742489810769306,158971,15.76056621488049,100242,9.938106186109732,13842,1.3723116640542976,0,0.0,0,0.0,0,0.0,0,0.0,27425,2.718945772770489,56432,5.594732829498058,30674,3.041055337610282,-109719.0,-3826.0,42754.0,-92892.0,35418.0,-7232.0,0.0,-15944.0,0.0,0.0,-7288.0,56432.0,-4726.0,4.789381968053788
Stadt Bremen,2011-05-22,408435,232883,57.0,7262,0.6466906749021326,1115686,438991,39.347181913190624,227622,20.40197690031066,25255,2.2636297309458038,251863,22.574720844395287,64824,5.810236930462514,21074,1.8888827143120914,0,0.0,15944,1.429075922795482,0,0.0,0,0.0,34713,3.111359289262391,0,0.0,35400,3.1729357543251417,353064.0,167949.0,12657.0,211645.0,44598.0,21074.0,-5191.0,15944.0,-1430.0,0.0,34713.0,0.0,28977.0,4.790757590721521
Stadt Bremen,2007-05-13,400785,234815,58.6,3129,1.3325383812788791,231686,85927,37.08769627858395,59673,25.755980076482825,12598,5.437531831875901,40218,17.358839118462058,20226,8.72991894201635,0,0.0,5191,2.240532444774393,0,0.0,1430,0.617214678487263,0,0.0,0,0.0,0,0.0,6423,2.7722866293172657,-20557.0,-12523.0,2929.0,6954.0,15840.0,0.0,1815.0,0.0,1430.0,0.0,0.0,0.0,-9957.0,0.9866746161872112
Stadt Bremen,2003-05-25,395469,248559,62.9,2804,1.1281023821306007,245755,106484,43.32933205835079,72196,29.37722528534516,9669,3.9344062175744132,33264,13.535431629061465,4386,1.7847042786515024,0,0.0,3376,1.3737258651909423,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16380,6.665174665825721,1726.0,-20220.0,4436.0,10855.0,-3292.0,0.0,-2700.0,-651.0,0.0,-5269.0,0.0,0.0,15667.0,0.988718976178694
Stadt Bremen,1999-06-06,399084,247329,62.0,2126,0.8595837932470515,245203,104758,42.72296831604834,92416,37.68958781091585,5233,2.1341500715733495,22409,9.138958332483698,7678,3.131283059342667,0,0.0,6076,2.477946844043507,651,0.26549430471894714,0,0.0,5269,2.1488317842767013,0,0.0,0,0.0,713,0.2907794765969421,10164.0,-246.0,-4261.0,-16063.0,327.0,0.0,268.0,471.0,-945.0,-27094.0,0.0,0.0,-4424.0,0.9914041620675295
Stadt Bremen,1995-05-14,412047,289980,70.4,2974,1.025587971584247,287006,94594,32.95889284544574,92662,32.28573618669993,9494,3.3079447816421954,38472,13.404597813286134,7351,2.56127049608719,0,0.0,5808,2.0236510734967217,180,0.0627164588893612,945,0.32926140916914626,32363,11.276070883535535,0,0.0,0,0.0,5137,1.7898580517480474,-22969.0,-3578.0,-19900.0,1937.0,7351.0,0.0,-10716.0,180.0,-3618.0,32363.0,0.0,0.0,-1002.0,0.9897441202841575
Stadt Bremen,1991-09-29,421087,310630,73.8,3672,1.1821137687924541,306958,117563,38.299376461926386,96240,31.352823513314526,29394,9.57590289225236,36535,11.902279790720554,0,0.0,0,0.0,16524,5.38314688002919,0,0.0,4563,1.4865225861518514,0,0.0,0,0.0,0,0.0,6139,1.9999478756051317,-46256.0,21487.0,-3402.0,3580.0,0.0,0.0,6928.0,0.0,1072.0,0.0,0.0,0.0,2365.0,0.9881788623120754
Stadt Bremen,1987-09-13,421273,323262,76.7,2078,0.642822230883927,321184,163819,51.004720035867294,74753,23.274197967520173,32796,10.210969413171266,32955,10.260473747135599,0,0.0,0,0.0,9596,2.987695526551758,0,0.0,3491,1.0869159111288234,0,0.0,0,0.0,0,0.0,3774,1.1750273986250872,-9148.0,-38128.0,17051.0,14499.0,0.0,0.0,9596.0,0.0,3491.0,0.0,0.0,0.0,-14187.0,0.9935717776911608
Stadt Bremen,1983-09-25,420015,340988,81.2,2978,0.8733445165225756,338010,172967,51.17215466998017,112881,33.39575752196681,15745,4.658146208692051,18456,5.460193485399841,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17961,5.313748113961125,9891.0,5675.0,-21395.0,18456.0,0.0,0.0,0.0,-1392.0,0.0,0.0,0.0,0.0,-8069.0,0.9912665548347742
Stadt Bremen,1979-07-10,420552,336239,80.0,1395,0.4148834608715824,334844,163076,48.70208216363441,107206,32.016700314176155,37140,11.091732269355283,0,0.0,0,0.0,0,0.0,0,0.0,1392,0.41571597520039183,0,0.0,0,0.0,0,0.0,0,0.0,26030,7.773769277633765,-7180.0,-11665.0,-10610.0,0.0,0.0,0.0,0.0,-2449.0,0.0,0.0,0.0,0.0,13126.0,0.9958511653912842
Stadt Bremen,1975-09-28,424196,355668,83.8,2046,0.5752555754242721,353622,170256,48.14632573765207,118871,33.615272805425,47750,13.50311914982665,0,0.0,0,0.0,0,0.0,0,0.0,3841,1.0861880765336998,0,0.0,0,0.0,0,0.0,0,0.0,12904,3.649094230562578,-29863.0,5227.0,21225.0,0.0,0.0,0.0,0.0,-6519.0,0.0,0.0,0.0,0.0,1045.0,0.9942474442457573
Stadt Bremen,1971-10-10,449934,364974,81.1,2467,0.6759385600070141,362507,200119,55.20417536764808,113644,31.34946359656503,26525,7.317100083584593,0,0.0,0,0.0,0,0.0,0,0.0,10360,2.857875847914661,0,0.0,0,0.0,0,0.0,0,0.0,11859,3.271385104287641,49192.0,15855.0,-10213.0,0.0,0.0,0.0,0.0,-19867.0,0.0,0.0,0.0,0.0,-6161.0,0.9932406143999298
Stadt Bremen,1967-01-10,429962,337627,78.5,3926,1.1628216937626434,333701,150927,45.22821328075133,97789,29.304377271869132,36738,11.009256789760894,0,0.0,0,0.0,0,0.0,0,0.0,30227,9.058108905876818,0,0.0,0,0.0,0,0.0,0,0.0,18020,5.400043751741829,-26926.0,4360.0,9036.0,0.0,0.0,0.0,0.0,30227.0,0.0,0.0,0.0,0.0,-8541.0,0.9883717830623736
Stadt Bremen,1963-09-29,420325,328488,78.2,2943,0.8959231387447943,325545,177853,54.632385691686245,93429,28.699258167073676,27702,8.509422660461688,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26561,8.158933480778387,3863.0,46517.0,4767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43061.0,0.9910407686125521
Stadt Bremen,1959-11-10,391581,316681,80.9,3222,1.0174276322229625,313459,173990,55.506461770119856,46912,14.965912607390441,22935,7.3167463687436,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,69622,22.210879253746104,29752.0,-7501.0,-3460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1498.0,0.9898257236777703
Stadt Bremen,1955-09-10,350773,299544,85.4,3378,1.1277141254707155,296166,144238,48.701741590864586,54413,18.3724667922719,26395,8.91223165386979,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71120,24.013559962993728,37443.0,28706.0,-9398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31341.0,0.9887228587452929
Stadt Bremen,1951-07-10,325672,274926,84.4,4170,1.5167717858623775,270756,106795,39.44326256851187,25707,9.494526437087266,35793,13.219651642068875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,102461,37.84255935233199,,,,,,,,,,,,,,0.9848322821413762
